Date,Price,Open,High,Low,Vol.,Change %
2/9/2016,7288.45,7299.85,7317.55,7281.8,79.90K,-1.34%
2/8/2016,7387.25,7489.7,7512.55,7363.2,176.76K,-1.36%
2/5/2016,7489.1,7418.25,7503.15,7406.65,257.52K,1.15%
2/4/2016,7404,7411.45,7457.05,7365.95,229.56K,0.57%
2/3/2016,7361.8,7392.45,7419.4,7350.3,197.86K,-1.26%
2/2/2016,7455.55,7566.65,7576.3,7428.05,237.34K,-1.33%
2/1/2016,7555.95,7589.5,7600.45,7541.25,206.65K,-0.10%
1/29/2016,7563.55,7413.35,7575.65,7402.8,307.93K,1.87%
1/28/2016,7424.65,7426.5,7468.85,7409.6,283.04K,-0.18%
1/27/2016,7437.75,7469.6,7477.9,7419.7,193.39K,0.02%
1/25/2016,7436.15,7468.75,7487.15,7421.2,168.20K,0.18%
1/22/2016,7422.45,7355.7,7433.4,7327.6,236.28K,2.00%
1/21/2016,7276.8,7376.65,7398.7,7250,248.11K,-0.44%
1/20/2016,7309.3,7357,7470.9,7241.5,232.61K,-1.69%
1/19/2016,7435.1,7381.8,7462.75,7364.15,194.07K,1.14%
1/18/2016,7351,7420.35,7463.65,7336.4,240.80K,-1.17%
1/15/2016,7437.8,7561.65,7566.5,7427.3,203.64K,-1.31%
1/14/2016,7536.8,7467.4,7604.8,7443.8,206.99K,-0.34%
1/13/2016,7562.4,7557.9,7590.95,7425.8,221.91K,0.69%
1/12/2016,7510.3,7587.2,7588.3,7487.8,168.98K,-0.71%
1/11/2016,7563.85,7527.45,7605.1,7494.35,194.84K,-0.49%
1/8/2016,7601.35,7611.65,7634.1,7581.05,162.35K,0.44%
1/7/2016,7568.3,7673.35,7674.95,7556.6,194.73K,-2.23%
1/6/2016,7741,7788.05,7800.95,7721.2,151.72K,-0.56%
1/5/2016,7784.65,7828.4,7831.2,7763.25,149.67K,-0.09%
1/4/2016,7791.3,7924.55,7937.55,7781.1,138.87K,-2.16%
1/1/2016,7963.2,7938.45,7972.55,7909.8,64.84K,0.21%
12/31/2015,7946.35,7897.8,7955.55,7891.15,155.65K,0.63%
12/30/2015,7896.25,7938.6,7944.75,7889.85,110.15K,-0.41%